Região Geográfica,UF,Município,Código IBGE,Date,Data_da_coleta,Categoria do manancial superficial,Unidade,Resultado,Nome_Rio_sisagua,Estacao_Codigo_split,Nome_Municipio,Profundidade,TempAr,TempAmostra,pH,Turbidez,CondutividadeEletrica,CondutividadeEspecifica,DBO,OD,SolTotais,SolSuspensaoTotais,SolDissolvidosTotais,NitrogenioTotal,NitrogenioAmoniacal,Nitratos,FosforoTotal,Ano,Clorofila,ODsaturacao,DescargaLiquida,OrtofosfatoTotal,Latitude,Longitude,Altitude,Classe
SUDESTE,SP,PIRAJU,353880,2017-05-19,2017-05-25,rio,Aphanocapsa sp.,59,RIO PARANAPANEMA,21389000,PIRAJU,0.9200000166893004,18.0,21.0,7.420000076293945,,,,3.0,,,,,0.699999988079071,,,0.0099999997764825,2017,0.0099999997764825,,,,-23.1597,-49.3678,531.0,0
SUDESTE,SP,PIRACAIA,353860,2017-09-11,2017-09-25,rio,Cylindrospermopsis sp.,18774,RIO DA CACHOEIRA,21387000,PIRACAIA,,,21.5,6.400000095367432,9.0,,,2.0,7.199999809265137,,100.0,100.0,,0.5,,,2017,,,,,-23.0953,-46.4419,760.0,1
SUDESTE,SP,PIRACAIA,353860,2017-09-14,2017-09-25,rio,Cylindrospermopsis sp.,18774,RIO DA CACHOEIRA,21387000,PIRACAIA,,,22.6200008392334,7.679999828338623,2.5,,,3.0,10.100000381469728,,100.0,100.0,,0.1000000014901161,,,2017,,,,,-23.0336,-46.29,826.0,1
SUDESTE,SP,PIRACAIA,353860,2017-09-21,2017-09-25,rio,Cylindrospermopsis sp.,18774,RIO DA CACHOEIRA,21387000,PIRACAIA,0.6800000071525574,27.0,20.40999984741211,8.619999885559082,4.300000190734863,,45.09999847412109,,7.260000228881836,,,,,,,,2017,,88.9000015258789,,,-23.0517,-46.3653,788.0,1
SUDESTE,SP,PIRACAIA,353860,2017-09-21,2017-09-25,rio,Cylindrospermopsis sp.,18774,RIO DA CACHOEIRA,21387000,PIRACAIA,0.7200000286102295,27.0,20.399999618530277,8.489999771118164,4.900000095367432,,44.900001525878906,,7.260000228881836,,,,,,,,2017,,88.69999694824219,,,-23.0517,-46.3653,788.0,1
SUDESTE,SP,PIRACAIA,353860,2017-09-21,2017-09-25,rio,Cylindrospermopsis sp.,18774,RIO DA CACHOEIRA,21387000,PIRACAIA,0.7599999904632568,27.0,20.420000076293945,8.770000457763672,3.400000095367432,,45.900001525878906,,7.289999961853027,,,,,,,,2017,,89.0,,,-23.0517,-46.3653,788.0,1
SUDESTE,SP,PIRACAIA,353860,2018-01-15,2018-01-22,rio,Cylindrospermopsis sp.,3360,RIO DA CACHOEIRA,21387000,PIRACAIA,,,24.399999618530277,7.130000114440918,17.0,,,2.0,5.989999771118164,,100.0,100.0,,0.5,,,2018,1.0,,,,-23.0953,-46.4419,760.0,0
SUDESTE,SP,PIRACAIA,353860,2018-01-10,2018-01-22,rio,Cylindrospermopsis sp.,3360,RIO DA CACHOEIRA,21387000,PIRACAIA,,,27.0,7.829999923706055,4.510000228881836,,,7.0,8.550000190734863,,100.0,100.0,,0.1000000014901161,,,2018,9.0,,,,-23.0336,-46.29,826.0,0
SUDESTE,SP,PIRACAIA,353860,2018-12-14,2018-12-27,rio,Cylindrospermopsis sp.,50190,RIO DA CACHOEIRA,21387000,PIRACAIA,0.949999988079071,33.0,24.979999542236328,6.639999866485596,,,41.0,,6.989999771118164,,,,,,,,2018,,93.0999984741211,,,-23.0517,-46.3653,788.0,1
SUDESTE,SP,PIRACAIA,353860,2018-12-14,2018-12-27,rio,Cylindrospermopsis sp.,50190,RIO DA CACHOEIRA,21387000,PIRACAIA,0.949999988079071,33.0,24.959999084472656,6.619999885559082,,,41.0,,7.010000228881836,,,,,,,,2018,,93.3000030517578,,,-23.0517,-46.3653,788.0,1
