SolSuspensaoTotais,NitrogenioTotal,Clorofila,SolTotais,DBO,FosforoTotal,Nitratos,SolDissolvidosTotais,NitrogenioAmoniacal,Turbidez,Delta T,OD,TempAr,TempAmostra,pH,Município,Primavera,Inverno,Outono,Verao,Classe,Nome do manancial superficial,Date_x,Categoria do manancial superficial,Unidade,Resultado,UF,Região Geográfica,Outlier
15.0,0.449999988079071,0.0099999997764825,113.62999725341795,5.900000095367432,0.0370000004768371,0.296999990940094,98.62999725341795,0.0299999993294477,8.829999923706055,3.860000610351559,6.949999809265137,29.0,25.13999938964844,6.789999961853027,ANTONIO CARLOS,0,0,0,1,0,FUNDO,2021-03-02,rio,Cylindrospermopsis sp.,0.0,MG,SUDESTE,1
7.0,0.5,0.0199999995529651,77.80999755859375,15.600000381469728,0.0370000004768371,0.3059999942779541,70.80999755859375,0.0299999993294477,11.039999961853027,2.549999237060547,7.369999885559082,30.0,27.450000762939453,6.349999904632568,ANTONIO CARLOS,0,0,0,1,0,FUNDO,2021-03-02,rio,Cylindrospermopsis sp.,0.0,MG,SUDESTE,1
6.0,0.5,0.0099999997764825,105.0,20.799999237060547,0.1019999980926513,0.3880000114440918,99.43000030517578,0.0299999993294477,5.650000095367432,3.3299999237060547,6.730000019073486,29.0,25.670000076293945,6.75,ANTONIO CARLOS,0,0,0,1,0,FUNDO,2022-03-08,rio,Cylindrospermopsis sp.,0.0,MG,SUDESTE,1
9.5,0.5,0.0099999997764825,81.9000015258789,27.600000381469727,0.0839999988675117,0.1840000003576278,72.43000030517578,0.0299999993294477,30.559999465942383,2.4099998474121094,6.730000019073486,30.0,27.59000015258789,6.489999771118164,ANTONIO CARLOS,0,0,0,1,0,FUNDO,2022-03-08,rio,Cylindrospermopsis sp.,0.0,MG,SUDESTE,1
86.0,0.7310000061988831,0.0099999997764825,166.0,0.5,0.2370000034570694,0.1770000010728836,80.26000213623047,0.0299999993294477,77.05000305175781,-0.7199993133544886,7.090000152587891,24.0,24.71999931335449,6.880000114440918,ANTONIO CARLOS,0,0,1,0,0,FUNDO,2022-06-07,rio,Cylindrospermopsis sp.,0.0,MG,SUDESTE,1
10.0,0.800000011920929,0.550000011920929,58.70000076293945,8.100000381469727,0.2290000021457672,0.1710000038146972,48.709999084472656,0.0299999993294477,114.12000274658205,4.170000076293949,7.429999828338623,30.0,25.82999992370605,6.349999904632568,ANTONIO CARLOS,0,0,1,0,0,FUNDO,2022-06-07,rio,Cylindrospermopsis sp.,0.0,MG,SUDESTE,1
50.0,3.299999952316284,4.679999828338623,257.0,4.0,0.3300000131130218,0.1599999964237213,112.0,1.899999976158142,56.400001525878906,5.6000003814697195,1.0,31.0,25.39999961853028,6.550000190734863,FORMIGA,1,0,0,0,0,RIO FORMIGA,2021-11-16,rio,Cylindrospermopsis sp.,0.0,MG,SUDESTE,1
50.0,1.0,0.7599999904632568,120.0,2.0,0.0599999986588954,0.0900000035762786,110.0,0.4000000059604645,11.0,1.6000003814697195,6.510000228881836,25.0,23.39999961853028,7.730000019073486,CONCEICAO DO MATO DENTRO,0,0,1,0,0,SANTO ANTONIO,2018-06-18,rio,Cylindrospermopsis sp.,0.0,MG,SUDESTE,1
50.0,1.0,1.4600000381469729,94.0,3.0,0.0199999995529651,0.0199999995529651,68.0,0.4000000059604645,6.099999904632568,-2.200000762939453,5.0,21.0,23.200000762939453,5.579999923706055,CONCEICAO DO MATO DENTRO,0,0,1,0,0,SANTO ANTONIO,2018-06-18,rio,Cylindrospermopsis sp.,0.0,MG,SUDESTE,1
50.0,4.0,0.8100000023841858,914.0,2.0,0.0299999993294477,0.2000000029802322,878.0,0.4000000059604645,5.099999904632568,4.200000762939453,5.690000057220459,28.0,23.799999237060547,7.619999885559082,VARGINHA,0,1,0,0,0,RIO VERDE,2016-08-01,rio,Cylindrospermopsis sp.,0.0,MG,SUDESTE,1
50.0,1.0,0.7599999904632568,236.0,2.0,0.1099999994039535,0.0199999995529651,236.0,0.4000000059604645,1.100000023841858,1.3999996185302734,7.480000019073486,31.0,29.600000381469727,5.590000152587891,VARGINHA,1,0,0,0,0,RIO VERDE,2017-11-07,rio,Cylindrospermopsis sp.,0.0,MG,SUDESTE,1
50.0,1.100000023841858,6.46999979019165,198.0,3.0,0.0199999995529651,0.0199999995529651,154.0,1.100000023841858,1.0,4.1000003814697195,10.399999618530272,32.0,27.89999961853028,8.649999618530273,VARGINHA,0,0,1,0,0,RIO VERDE,2021-05-17,rio,Cylindrospermopsis sp.,0.0,MG,SUDESTE,1
50.0,1.0,5.429999828338623,230.0,3.0,0.0199999995529651,0.0199999995529651,177.0,0.4000000059604645,16.399999618530273,4.799999237060547,9.350000381469728,32.0,27.200000762939453,8.4399995803833,VARGINHA,0,0,1,0,0,RIO VERDE,2021-05-17,rio,Cylindrospermopsis sp.,0.0,MG,SUDESTE,1
50.0,1.0,5.010000228881836,1134.0,2.0,0.0199999995529651,0.1899999976158142,1130.0,0.4000000059604645,2.5999999046325684,-1.1000003814697266,9.399999618530272,30.0,31.100000381469727,7.409999847412109,TRES CORACOES,0,0,0,1,0,RIO VERDE,2017-02-20,rio,Cylindrospermopsis sp.,0.0,MG,SUDESTE,1
50.0,1.0,2.5,666.0,3.0,0.0199999995529651,0.0199999995529651,617.0,0.8999999761581421,2.400000095367432,7.1000003814697195,4.920000076293945,32.0,24.89999961853028,7.300000190734863,VARGINHA,0,0,1,0,0,RIO VERDE,2021-05-17,rio,Cylindrospermopsis sp.,0.0,MG,SUDESTE,1
50.0,1.2000000476837158,1.0399999618530271,644.0,3.0,0.0199999995529651,0.0199999995529651,600.0,1.2000000476837158,10.0,7.700000762939453,2.7799999713897705,31.0,23.299999237060547,7.260000228881836,VARGINHA,0,0,1,0,0,RIO VERDE,2021-05-17,rio,Cylindrospermopsis sp.,0.0,MG,SUDESTE,1
